clean_number,event_number,axis_scatter,numb_pix,energy,size,Xc[0],Yc[0],con2,length[0],width[0],dist[0],dist[1],azwidth[1],miss[1],alpha[0],alpha[1],a_axis[0],b_axis[0],x_max_coord,y_max_coord,skewness,kurtosis,edge,source_x,source_y,x_ground,y_ground,tel_tet,tel_fi,source_tet,source_fi,Xmax,num_islands,con_selected_island
0,1,1,21,192.901,903.418,1.36973,-2.41626,0.343822,0.706498,0.12287,2.7775,2.77758,0.12394,0.0648589,1.33493,1.33803,-1.86397,1.13494,1.2663,-2.19329,0.412741,354.043,1,-0.000172326,-3.10345e-10,485.326,171.931,0.695834,6.21157,0.695834,-0.0716173,409.105,1,1
1,1,4,24,192.901,1388.88,-2.46075,0.71174,0.354539,0.698548,0.166367,2.56161,2.56145,0.166931,0.0517386,1.15847,1.1574,-0.31128,-0.449759,-2.1708,0.626656,0.509002,345.281,1,-0.000172326,-3.10345e-10,-159.734,-333.339,0.695834,6.21157,0.695834,-0.0716173,409.105,1,1
2,1,7,13,192.901,369.733,-0.612322,-3.26415,0.340513,0.551291,0.143484,3.32109,3.32105,0.146999,0.199367,3.43868,3.4416,3.99198,-6.79744,-0.5427,-2.81995,-0.226941,112.988,0,-0.000172326,-3.10345e-10,726.07,-160.236,0.695834,6.21157,0.695834,-0.0716173,409.105,1,1
3,1,9,13,192.901,455.15,0.261173,3.17741,0.388384,0.542986,0.139691,3.18813,3.18814,0.139691,0.00219901,0.0364331,0.0395196,12.2614,-0.206795,0.1809,2.81995,0.0401256,107.732,0,-0.000172326,-3.10345e-10,-680.504,90.0432,0.695834,6.21157,0.695834,-0.0716173,409.105,1,1
4,2,1,5,30.2981,119.634,-2.49045,-0.0303444,0.56616,0.381089,0.0908391,2.49064,2.49049,0.091882,0.0928924,2.1376,2.13756,0.0495323,0.771256,-2.8944,0,-0.557556,24.1858,0,-0.000145135,-2.86654e-10,276.559,-273.81,0.570295,7.05519,0.570295,0.772003,380.335,1,1
5,2,7,14,30.2981,466.107,-1.60575,-0.79327,0.416544,0.523761,0.161558,1.79101,1.79088,0.163037,0.0787811,2.52332,2.52127,0.550062,0.746209,-1.0854,-0.626656,0.552572,111.152,1,-0.000145135,-2.86654e-10,248.136,-67.7066,0.570295,7.05519,0.570295,0.772003,380.335,1,1
6,3,1,19,125.481,705.492,2.40126,1.52732,0.264095,0.726237,0.157264,2.84583,2.84569,0.157284,0.0101109,0.205357,0.203576,0.641095,-0.100464,1.809,1.25331,0.0721337,301.786,0,0.000164779,-3.6746e-10,-328.19,221.475,0.572811,6.6103,0.572811,0.327123,411.241,1,1
7,3,3,26,125.481,2437.51,-1.85617,0.418271,0.456062,0.709922,0.145413,1.90272,1.90288,0.145526,0.015679,0.471011,0.472101,-0.233995,-0.1332,-1.2663,0.313328,1.08853,532.728,1,0.000164779,-3.6746e-10,14.4279,-233.471,0.572811,6.6103,0.572811,0.327123,411.241,1,1
8,3,7,5,125.481,151.253,-1.64314,2.81291,0.705123,0.321049,0.0694218,3.25766,3.25775,0.0703257,0.116805,2.05224,2.05475,-1.86196,-2.04444,-1.6281,2.81995,-0.531553,15.1958,0,0.000164779,-3.6746e-10,-421.609,-424.473,0.572811,6.6103,0.572811,0.327123,411.241,1,1
9,4,3,14,65.454,613.704,0.874302,-2.45203,0.304156,0.616351,0.13339,2.60324,2.60318,0.133392,0.003627,0.0766374,0.0798299,-2.79274,-0.0856467,0.7236,-1.87997,0.0576505,174.074,0,0.000153992,-3.52336e-10,226.906,219.562,0.531141,6.74963,0.531141,0.466453,552.444,1,1
10,4,5,10,65.454,215.785,2.134,-2.92342,0.332618,0.64103,0.123453,3.61944,3.61935,0.124923,0.109947,1.74274,1.74077,-1.46126,1.61612,2.1708,-3.13328,-0.497404,204.984,1,0.000153992,-3.52336e-10,240.824,404.615,0.531141,6.74963,0.531141,0.466453,552.444,1,1
11,4,7,30,65.454,2337,-0.0665469,2.1105,0.322934,0.749757,0.165183,2.11155,2.11155,0.165641,0.0355199,0.959683,0.963859,-67.6938,-19.8534,0,1.25331,0.658883,490.719,1,0.000153992,-3.52336e-10,-182.722,-98.7657,0.531141,6.74963,0.531141,0.466453,552.444,1,1
12,4,8,30,65.454,2423.65,1.78862,1.00753,0.368015,0.731111,0.165473,2.05287,2.05273,0.166133,0.0426566,1.1886,1.19071,0.536285,0.400671,1.6281,0.939984,0.721035,461.879,0,0.000153992,-3.52336e-10,-158.417,89.376,0.531141,6.74963,0.531141,0.466453,552.444,1,1
13,5,2,8,50.9143,251.853,-0.236173,-2.35526,0.43849,0.48904,0.113979,2.36707,2.36709,0.114284,0.0415003,1.00825,1.00457,8.46869,-2.94518,-0.1809,-2.19329,-0.00142499,60.0157,0,0.000152842,-3.506e-10,414.988,93.8218,0.526758,6.58056,0.526758,0.297383,387.587,1,1
14,5,5,12,50.9143,288.998,2.32409,1.52488,0.377608,0.675967,0.108328,2.77969,2.77956,0.108735,0.0391229,0.804749,0.806477,0.636208,0.383684,1.809,1.25331,0.211994,246.123,0,0.000152842,-3.506e-10,-330.118,240.573,0.526758,6.58056,0.526758,0.297383,387.587,1,1
15,6,4,12,71.6517,565.902,-2.28227,-0.695007,0.42636,0.47012,0.143598,2.38575,2.38561,0.143725,0.03216,0.773436,0.772418,0.319337,0.280319,-2.1708,-0.626656,0.13487,55.6839,0,-0.00014557,-2.87156e-10,93.3192,-321.439,0.57222,6.22106,0.57222,-0.0621273,420.021,1,1
16,6,9,13,71.6517,396.946,-1.39264,-2.22884,0.374179,0.523111,0.147949,2.62815,2.62807,0.150377,0.140971,3.07215,3.07484,1.42442,-2.03264,-1.2663,-2.19329,-0.0107973,97.4904,1,-0.00014557,-2.87156e-10,363.93,-223.752,0.57222,6.22106,0.57222,-0.0621273,420.021,1,1
17,7,2,4,21.8716,223.01,1.07606,-1.21254,0.765934,0.260458,0.0598885,1.62116,1.62126,0.0722298,0.258269,9.16235,9.16635,-1.57424,3.99199,1.0854,-1.25331,0.125933,4.92896,0,-0.000151061,-2.93198e-10,303.028,17.9093,0.596712,5.71224,0.596712,-0.570947,380.734,1,1
18,7,8,10,21.8716,593.349,-1.13895,0.454634,0.562709,0.384656,0.130168,1.22633,1.22619,0.132827,0.0895936,4.18752,4.19014,-0.316699,0.778868,-0.9045,0.313328,0.693512,33.7317,0,-0.000151061,-2.93198e-10,-169.444,-95.0479,0.596712,5.71224,0.596712,-0.570947,380.734,1,1
19,8,4,4,36.972,102.01,2.446,1.1314,0.6557,0.34717,0.0755905,2.69499,2.69512,0.0763009,0.082624,1.75805,1.75678,0.42581,0.745133,2.5326,1.25331,-0.245679,14.7072,0,-0.000141814,-2.82689e-10,114.328,460.355,0.555687,5.54163,0.555687,-0.741557,332.801,1,1
20,9,5,11,21.1437,409.005,-1.43518,0.773319,0.576465,0.500761,0.132457,1.63027,1.63013,0.132462,0.00394668,0.14139,0.138718,-0.542018,-0.0379437,-1.0854,0.626656,0.850133,94.9325,1,-0.000160277,-3.01927e-10,-162.316,-151.19,0.638768,6.07583,0.638768,-0.207357,455.599,1,1
21,9,6,14,21.1437,1137.19,0.226854,-0.28117,0.692124,0.220989,0.187076,0.361275,0.361375,0.18716,0.0172033,2.74839,2.72861,-1.12451,-0.216156,0.1809,-0.313328,0.631542,5.61968,0,-0.000160277,-3.01927e-10,29.2022,14.2484,0.638768,6.07583,0.638768,-0.207357,455.599,1,1
22,10,0,32,110.345,7042.17,-0.502621,-0.825285,0.642211,0.456143,0.142345,0.966294,0.966381,0.142348,0.00206582,0.114017,0.122481,1.64934,0.0307539,-0.3618,-0.626656,1.47918,142.194,0,0.000167139,-3.70481e-10,104.6,-12.188,0.582076,6.67668,0.582076,0.393503,430.012,1,1
23,10,1,14,110.345,482.88,0.120363,-2.77636,0.314451,0.629607,0.128668,2.77897,2.77897,0.128758,0.0217454,0.4449,0.448343,-19.556,-3.50364,0.1809,-2.81995,0.14619,203.485,0,0.000167139,-3.70481e-10,432.42,200.448,0.582076,6.67668,0.582076,0.393503,430.012,1,1
24,10,2,17,110.345,680.752,2.42749,0.0342021,0.332936,0.582452,0.143525,2.42773,2.42756,0.143531,0.00561977,0.132583,0.132639,0.0117751,0.0465853,2.1708,0,0.190312,159.552,1,0.000167139,-3.70481e-10,-146.468,329.617,0.582076,6.67668,0.582076,0.393503,430.012,1,1
25,10,7,5,110.345,89.641,-2.19874,-2.27614,0.515289,0.377834,0.126505,3.16469,3.16481,0.126594,0.0421753,0.765742,0.763566,1.00789,-0.49792,-2.5326,-2.50662,-0.158383,18.9003,0,0.000167139,-3.70481e-10,608.372,-181.509,0.582076,6.67668,0.582076,0.393503,430.012,1,1
26,11,4,15,24.4568,362.7,0.17708,1.85877,0.339269,0.675251,0.158133,1.86718,1.86717,0.158273,0.0189365,0.575351,0.581095,9.48673,1.48306,0.1809,1.56664,0.524283,284.013,0,0.000188036,-3.92085e-10,-284.554,-162.105,0.666828,6.87589,0.666828,0.592713,359.617,1,1
27,11,7,14,24.4568,1121.11,-1.08587,0.00662564,0.661904,0.422698,0.0996065,1.08589,1.08608,0.0996708,0.00946507,0.499395,0.499334,0.00261447,0.0784794,-0.7236,0,1.00988,65.805,0,0.000188036,-3.92085e-10,83.2937,-134.25,0.666828,6.87589,0.666828,0.592713,359.617,1,1
28,12,7,9,24.9014,247.948,-2.03557,-0.0930768,0.395567,0.429579,0.14087,2.03769,2.03755,0.141048,0.0355539,1,0.999824,0.0632309,0.295471,-1.809,0,0.312804,40.6304,0,-0.000140501,-2.81064e-10,-130.879,-258.015,0.549948,5.75467,0.549948,-0.528517,392.06,1,1
29,13,3,19,46.33,681.171,0.953659,1.91618,0.282408,0.779979,0.151738,2.14038,2.14044,0.152068,0.0280314,0.746821,0.750371,2.07672,-0.533194,0.7236,1.25331,0.624948,560.779,0,-0.000148138,-2.90057e-10,-293.024,-6.02811,0.583625,6.69141,0.583625,0.408223,446.646,1,1
30,14,2,9,154.762,233.028,0.756149,-2.95876,0.492121,0.390106,0.178507,3.05385,3.05381,0.179046,0.122148,2.28909,2.29237,-3.34911,-3.53509,0.7236,-3.13328,-0.373327,29.6327,0,0.000180211,-3.85137e-10,586.647,113.348,0.634476,6.27929,0.634476,-0.00388735,489.681,1,1
31,15,0,10,24.4459,284.862,-1.73355,-0.169367,0.327994,0.436685,0.169485,1.7418,1.74197,0.170172,0.0660889,2.17373,2.17428,0.136162,0.552866,-1.4472,0,0.447322,52.5586,0,0.000170161,-3.74185e-10,-72.2156,-259.074,0.594024,5.92663,0.594024,-0.356547,350.308,1,1
32,16,1,10,78.9541,363.281,1.1665,-2.06201,0.454331,0.569699,0.0776475,2.36909,2.36917,0.0776798,0.00939816,0.223843,0.227284,-1.78391,0.156951,1.0854,-1.87997,0.405946,139.238,0,-0.000163494,-3.04522e-10,356.531,316.654,0.653759,6.58438,0.653759,0.301193,359.259,1,1
33,16,5,13,78.9541,924.321,-1.60601,0.441956,0.464105,0.444,0.144369,1.66571,1.66555,0.1445,0.0244323,0.842006,0.840514,-0.291063,-0.211391,-1.2663,0.313328,0.564839,62.6123,1,-0.000163494,-3.04522e-10,-14.1057,-281.299,0.653759,6.58438,0.653759,0.301193,359.259,1,1
34,16,7,18,78.9541,772.639,0.074155,2.10303,0.348714,0.616635,0.145514,2.10434,2.10435,0.145553,0.0116929,0.313921,0.318369,33.5839,-3.21208,0,1.87997,0.461855,207.858,1,-0.000163494,-3.04522e-10,-386.898,-108.46,0.653759,6.58438,0.653759,0.301193,359.259,1,1
35,16,9,17,78.9541,1546.17,1.32598,-0.509788,0.511714,0.506308,0.133767,1.4206,1.42075,0.134348,0.0363096,1.46208,1.46445,-0.414049,0.325301,0.9045,-0.313328,1.01877,143.721,1,-0.000163494,-3.04522e-10,31.0774,220.246,0.653759,6.58438,0.653759,0.301193,359.259,1,1
36,18,5,6,48.7462,95.686,-1.23699,-3.31486,0.535554,0.316988,0.129823,3.53814,3.53809,0.151651,0.959007,15.7291,15.7269,12.0738,96.3536,-1.2663,-3.4466,0.00408837,10.7632,1,-0.000146078,-2.87742e-10,264.733,-578.96,0.574469,5.4337,0.574469,-0.849487,368.554,1,1
37,18,6,6,48.7462,109.718,1.05343,-2.34852,0.468948,0.365056,0.113043,2.57395,2.57401,0.113427,0.0691854,1.54317,1.54021,-2.07768,-1.32531,1.2663,-2.81995,0.0412847,18.905,0,-0.000146078,-2.87742e-10,451.04,-232.13,0.574469,5.4337,0.574469,-0.849487,368.554,1,1
38,19,0,19,156.563,1635.8,2.30014,-0.60197,0.286352,0.641809,0.147271,2.37761,2.37742,0.147271,3.97201e-05,0.000198028,0.000957252,-0.261714,7.04338e-05,2.1708,-0.626656,0.23373,203.005,1,0.000189339,-3.93097e-10,290.252,81.6536,0.672291,5.30335,0.672291,-0.979827,470.502,1,1
39,19,3,33,156.563,2917.93,1.78005,1.17358,0.31376,0.746837,0.177183,2.1321,2.13194,0.177253,0.0146737,0.397159,0.394358,0.669286,-0.14746,1.2663,0.939984,0.818479,525.893,0,0.000189339,-3.93097e-10,69.3376,246.952,0.672291,5.30335,0.672291,-0.979827,470.502,1,1
40,19,5,5,156.563,133.483,-2.01723,2.9431,0.743848,0.26358,0.0999915,3.56806,3.56817,0.100015,0.0319504,0.515557,0.513049,-1.43119,0.464797,-2.1708,3.13328,-0.571684,5.38219,0,0.000189339,-3.93097e-10,-590.729,308.154,0.672291,5.30335,0.672291,-0.979827,470.502,1,1
41,20,0,4,133.412,72.915,-2.78655,-2.04232,0.643228,0.250995,0.107185,3.45484,3.45471,0.109827,0.364462,6.05422,6.05581,0.581646,-3.49532,-2.5326,-1.87997,0.0698131,3.53293,0,-0.000162001,-3.03349e-10,419.414,-630.071,0.646779,6.1312,0.646779,-0.151987,374.314,1,1
42,20,1,11,133.412,382.581,2.26956,-1.71719,0.395673,0.50914,0.129456,2.84599,2.84612,0.131043,0.117519,2.36844,2.36647,-0.693556,-1.18681,1.9899,-1.56664,0.161895,80.1917,1,-0.000162001,-3.03349e-10,413.172,330.171,0.646779,6.1312,0.646779,-0.151987,374.314,1,1
43,20,3,21,133.412,991.29,1.8598,1.65785,0.337478,0.711469,0.160672,2.49145,2.49157,0.161164,0.0452465,1.03806,1.04054,0.924466,-0.509695,1.4472,1.25331,0.595918,387.485,1,-0.000162001,-3.03349e-10,-256.756,314.154,0.646779,6.1312,0.646779,-0.151987,374.314,1,1
44,20,7,24,133.412,2889.45,0.437438,-1.39557,0.524441,0.523905,0.131149,1.46252,1.46257,0.134945,0.0916504,3.59879,3.59273,-2.60479,-2.12388,0.3618,-1.25331,1.12098,184.375,0,-0.000162001,-3.03349e-10,253.773,26.6231,0.646779,6.1312,0.646779,-0.151987,374.314,1,1
45,21,0,8,26.1397,242.263,1.49136,0.85054,0.516212,0.426051,0.114963,1.71685,1.7167,0.115383,0.0411453,1.37619,1.37338,0.602591,-0.399177,1.0854,0.626656,0.174405,36.9804,0,0.000170181,-3.74211e-10,-120.843,265.702,0.594105,6.0889,0.594105,-0.194277,349.541,1,1
46,21,5,7,26.1397,162.036,-1.66706,1.39897,0.483436,0.468189,0.0955807,2.17628,2.17641,0.103918,0.193662,5.10217,5.10505,-1.00368,-2.27373,-1.4472,1.25331,0.512756,65.7279,1,0.000170181,-3.74211e-10,-281.933,-185.537,0.594105,6.0889,0.594105,-0.194277,349.541,1,1
47,21,9,10,26.1397,665.707,-0.433795,-1.09764,0.42088,0.403896,0.137601,1.18025,1.18032,0.141394,0.101111,4.90656,4.91424,3.34214,2.92008,-0.3618,-0.626656,0.734493,44.3668,0,0.000170181,-3.74211e-10,187.8,-105.559,0.594105,6.0889,0.594105,-0.194277,349.541,1,1
48,22,2,14,47.6178,866.826,-0.787468,-1.34926,0.563352,0.47781,0.103086,1.56224,1.56232,0.10491,0.0652166,2.39727,2.39242,1.55967,-1.00387,-0.7236,-1.25331,0.721174,92.6824,0,0.000153234,-3.51194e-10,189.167,-163.068,0.52825,6.05031,0.52825,-0.232867,370.507,1,1
49,22,3,8,47.6178,192.116,-2.35529,-0.710734,0.428278,0.439892,0.118106,2.46019,2.46033,0.118473,0.0540805,1.25849,1.25952,0.32589,0.471226,-2.1708,-0.626656,-0.0268377,44.9157,0,0.000153234,-3.51194e-10,44.913,-398.617,0.52825,6.05031,0.52825,-0.232867,370.507,1,1
50,23,1,19,141.124,769.766,-2.45069,1.91808,0.321678,0.607167,0.184733,3.11206,3.11219,0.185096,0.0623429,1.14591,1.14782,-0.815441,-0.665885,-1.9899,1.56664,-0.0991357,158.727,1,0.000168081,-3.71657e-10,-400.884,-162.412,0.585792,5.85637,0.585792,-0.426807,446.086,1,1
51,23,5,12,141.124,306.414,-3.24235,-0.896478,0.336401,0.574958,0.159891,3.364,3.36416,0.161104,0.120154,2.04757,2.04681,0.238382,-1.02455,-3.4371,-0.939984,-0.245099,129.108,0,0.000168081,-3.71657e-10,-58.4715,-498.777,0.585792,5.85637,0.585792,-0.426807,446.086,1,1
52,23,8,17,141.124,819.7,2.35223,-1.61141,0.348551,0.580888,0.157274,2.85125,2.85111,0.157282,0.00819993,0.166694,0.164785,-0.68934,0.083543,2.3517,-1.56664,0.0627848,147.043,1,0.000168081,-3.71657e-10,364.652,182.819,0.585792,5.85637,0.585792,-0.426807,446.086,1,1
53,24,1,8,45.9079,170.607,-2.83923,-0.477956,0.326124,0.539817,0.114665,2.87918,2.87903,0.116262,0.104817,2.08694,2.08643,0.206044,0.88765,-3.618,-0.626656,-0.0357287,94.3841,0,-0.000155823,-2.9794e-10,214.368,-410.25,0.618284,6.55931,0.618284,0.276123,379.3,1,1
54,24,4,17,45.9079,787.37,-1.68933,-0.326084,0.499277,0.52093,0.149521,1.72051,1.72036,0.149654,0.0217626,0.723832,0.724815,0.179953,-0.183119,-1.6281,-0.313328,0.813971,130.229,0,-0.000155823,-2.9794e-10,115.073,-214.377,0.618284,6.55931,0.618284,0.276123,379.3,1,1
55,24,9,14,45.9079,569.721,-1.8014,0.792451,0.414731,0.617684,0.134022,1.968,1.96786,0.136394,0.08265,2.40896,2.40713,-0.491065,-0.764131,-1.4472,0.626656,0.485846,192.059,1,-0.000155823,-2.9794e-10,-64.368,-273.234,0.618284,6.55931,0.618284,0.276123,379.3,1,1
56,25,3,11,62.7716,275.408,2.03026,-2.58882,0.315844,0.669699,0.120137,3.28998,3.29006,0.130961,0.260341,4.54041,4.53852,-1.08577,-3.18773,1.4472,-1.87997,0.0029078,215.197,1,-0.000137874,-2.77721e-10,164.318,398.09,0.538523,6.85558,0.538523,0.572393,499.315,1,1
57,25,7,5,62.7716,106.404,-2.46459,-2.25855,0.700509,0.236173,0.125331,3.34294,3.34284,0.148838,1.34064,23.6454,23.6438,2.26168,27.4923,-2.5326,-2.50662,-0.445239,3.81518,0,-0.000137874,-2.77721e-10,497.963,-86.0055,0.538523,6.85558,0.538523,0.572393,499.315,1,1
58,26,4,39,197.596,3687.4,0.797935,2.13656,0.330545,0.795443,0.177835,2.2807,2.28075,0.178208,0.0338834,0.854699,0.851232,2.56042,0.775414,0.5427,1.56664,0.689606,663.983,1,-0.000147308,-2.89134e-10,-129.005,247.563,0.579926,5.49508,0.579926,-0.788107,473.809,1,1
59,26,6,27,197.596,3311.36,-1.34372,1.6907,0.369712,0.659434,0.154574,2.15964,2.15955,0.157193,0.0962717,2.55812,2.55506,-1.38051,-1.36245,-1.2663,1.56664,0.43526,281.718,1,-0.000147308,-2.89134e-10,-267.515,56.4673,0.579926,5.49508,0.579926,-0.788107,473.809,1,1
60,26,7,29,197.596,2530.19,-0.8839,-2.23381,0.328801,0.775111,0.150741,2.40233,2.40227,0.152407,0.0710078,1.69056,1.69383,2.32433,-1.48698,-0.7236,-1.87997,0.59836,579.191,1,-0.000147308,-2.89134e-10,141.389,-285.547,0.579926,5.49508,0.579926,-0.788107,473.809,1,1
61,26,8,42,197.596,4566.16,-1.63557,1.00913,0.39516,0.813056,0.195936,1.92183,1.92171,0.195956,0.00690633,0.203606,0.205913,-0.612096,0.0663949,-1.0854,0.626656,0.756289,664.139,1,-0.000147308,-2.89134e-10,-207.448,-30.5186,0.579926,5.49508,0.579926,-0.788107,473.809,1,1
62,27,1,12,28.2448,250.772,2.41029,-0.18902,0.299061,0.540048,0.169631,2.41769,2.41752,0.16974,0.028633,0.678312,0.678623,-0.066521,-0.237853,2.3517,-0.313328,0.109242,107.432,1,0.000167784,-3.71285e-10,-12.5192,334.483,0.584617,6.40922,0.584617,0.126043,410.502,1,1
63,27,8,10,28.2448,198.393,0.32846,2.41171,0.369847,0.552716,0.125099,2.43397,2.43395,0.13362,0.212271,4.99935,5.00326,4.41758,7.96607,0.1809,2.19329,0.25169,105.911,0,0.000167784,-3.71285e-10,-424.485,-9.59902,0.584617,6.40922,0.584617,0.126043,410.502,1,1
64,28,0,9,34.7527,178.362,-2.53298,0.513017,0.300423,0.657609,0.117223,2.58441,2.58458,0.120568,0.112652,2.49733,2.49809,-0.248343,-0.962111,-1.9899,0.313328,0.265851,198.163,1,0.000172341,-3.76745e-10,-388.44,-127.212,0.602702,5.29018,0.602702,-0.992997,352.986,1,1
65,28,4,11,34.7527,269.399,0.504452,-2.06667,0.326683,0.598027,0.1327,2.12734,2.1273,0.132725,0.00949438,0.260228,0.255718,-4.17916,0.344269,0.3618,-1.87997,0.600651,177.66,0,0.000172341,-3.76745e-10,267.002,-274.437,0.602702,5.29018,0.602702,-0.992997,352.986,1,1
66,28,6,8,34.7527,236.901,-1.0287,1.83452,0.446094,0.50117,0.0857358,2.10325,2.10334,0.0882476,0.0890475,2.43051,2.42641,-1.61838,1.40699,-0.9045,1.56664,0.580018,93.1241,0,0.000172341,-3.76745e-10,-349.32,227.815,0.602702,5.29018,0.602702,-0.992997,352.986,1,1
67,29,4,13,43.7851,429.739,1.7374,-0.804842,0.42775,0.533596,0.136094,1.91477,1.9146,0.140108,0.123559,3.70242,3.70016,-0.54427,1.16727,1.4472,-0.626656,0.616269,123.426,1,0.000180202,-3.85128e-10,300.573,32.6238,0.634439,5.32495,0.634439,-0.958227,370.464,1,1
68,29,5,4,43.7851,79.183,-0.25429,-2.69091,0.594307,0.344136,0.0795047,2.70289,2.70291,0.0799199,0.0656722,1.39605,1.39224,8.39317,-4.61533,-0.1809,-2.81995,-0.216265,14.4185,0,0.000180202,-3.85128e-10,319.046,-534.024,0.634439,5.32495,0.634439,-0.958227,370.464,1,1
69,29,6,12,43.7851,470.681,1.01862,1.52408,0.342842,0.475868,0.157158,1.83314,1.83304,0.157644,0.050482,1.57344,1.57813,1.41077,0.721734,0.7236,1.25331,0.384927,68.9377,0,0.000180202,-3.85128e-10,-35.2918,318.538,0.634439,5.32495,0.634439,-0.958227,370.464,1,1
70,29,8,13,43.7851,610.866,-1.47671,-0.565655,0.427627,0.43397,0.14698,1.58134,1.5815,0.147263,0.035336,1.27795,1.28028,0.408854,0.315934,-1.4472,-0.626656,0.0775005,48.6918,0,0.000180202,-3.85128e-10,-124.196,-219.867,0.634439,5.32495,0.634439,-0.958227,370.464,1,1
71,32,3,10,48.0397,185.822,2.4123,2.07596,0.316017,0.643293,0.117898,3.18257,3.18268,0.117945,0.016744,0.30304,0.301434,0.85141,0.183311,2.7135,2.19329,-0.19505,193.124,0,-0.00013675,-2.76256e-10,-370.523,177.595,0.533663,6.62656,0.533663,0.343373,487.022,1,1
72,33,0,13,108.606,440.531,2.49607,-1.48081,0.330662,0.551971,0.160647,2.90227,2.90241,0.160843,0.0435407,0.861233,0.859558,-0.573114,-0.416914,2.1708,-1.25331,-0.110035,108.621,1,-0.000166282,-3.06573e-10,205.716,417.5,0.666886,6.46532,0.666886,0.182133,437.509,1,1
73,33,6,9,108.606,231.664,2.78708,-0.337468,0.435627,0.439649,0.120997,2.80744,2.8076,0.121136,0.0386242,0.787834,0.788242,-0.135059,0.322988,3.0753,-0.313328,0.0826601,47.3315,1,-0.000166282,-3.06573e-10,-20.0552,476.1,0.666886,6.46532,0.666886,0.182133,437.509,1,1
74,33,7,14,108.606,608.205,2.3415,-1.13413,0.370517,0.605542,0.132951,2.6017,2.60185,0.132952,0.00118558,0.0245116,0.0261078,-0.484889,0.0102568,1.9899,-0.939984,0.251222,170.381,1,-0.000166282,-3.06573e-10,135.241,361.037,0.666886,6.46532,0.666886,0.182133,437.509,1,1
75,33,8,10,108.606,256.538,2.72385,-1.31289,0.282099,0.536611,0.139635,3.02374,3.02389,0.139916,0.0517511,0.979244,0.980612,-0.503237,0.479693,3.0753,-1.56664,-0.0729342,80.1631,1,-0.000166282,-3.06573e-10,169.707,464.716,0.666886,6.46532,0.666886,0.182133,437.509,1,1
76,34,1,7,54.0255,162,0.847434,3.37282,0.443377,0.50166,0.112142,3.47765,3.47761,0.112655,0.0763887,1.26139,1.25865,4.38647,-2.85594,0.9045,3.4466,-0.105273,65.2267,0,0.000171473,-3.75737e-10,-395.342,-247.339,0.599241,7.04172,0.599241,0.758543,526.621,1,1
77,34,4,12,54.0255,450.382,2.56293,-0.149792,0.284803,0.519126,0.158903,2.56731,2.56714,0.163437,0.198568,4.43649,4.43627,-0.136652,1.662,2.5326,0,0.0228685,90.2044,1,0.000171473,-3.75737e-10,-186.284,221.113,0.599241,7.04172,0.599241,0.758543,526.621,1,1
78,36,0,17,83.6234,1974.17,-0.955489,-0.695943,0.573689,0.416706,0.13408,1.18207,1.18223,0.13484,0.0428554,2.08288,2.07741,0.674136,-0.429629,-0.7236,-0.626656,1.22447,82.6479,1,0.000191629,-3.94772e-10,23.8697,-215.718,0.681955,5.66427,0.681955,-0.618907,328.903,1,1
79,36,4,15,83.6234,3153.96,0.740963,-0.60833,0.739895,0.344791,0.102295,0.958693,0.958545,0.110878,0.124529,7.47193,7.46466,-1.06705,1.51173,0.7236,-0.626656,1.24576,39.5738,0,0.000191629,-3.94772e-10,195.959,23.864,0.681955,5.66427,0.681955,-0.618907,328.903,1,1
80,36,5,14,83.6234,292.488,1.37074,2.49153,0.277372,0.635715,0.140336,2.84371,2.84361,0.142442,0.111935,2.25934,2.25596,2.00058,-2.07907,1.4472,2.50662,-0.131993,218,0,0.000191629,-3.94772e-10,-301.386,503.526,0.681955,5.66427,0.681955,-0.618907,328.903,1,1
81,36,8,10,83.6234,248.981,-2.72969,1.30151,0.415863,0.496097,0.119787,3.02409,3.02427,0.120613,0.0885338,1.67598,1.67754,-0.513216,-0.82433,-2.5326,1.25331,0.122529,77.8233,1,0.000191629,-3.94772e-10,-523.847,-219.293,0.681955,5.66427,0.681955,-0.618907,328.903,1,1
82,36,9,19,83.6234,2222.63,-0.580739,1.04571,0.638849,0.430319,0.112638,1.19614,1.19624,0.114315,0.0561956,2.68455,2.69258,-2.01791,-1.0462,-0.5427,0.939984,1.28287,94.3227,0,0.000191629,-3.94772e-10,-239.831,54.0201,0.681955,5.66427,0.681955,-0.618907,328.903,1,1
83,37,4,9,152.868,345.006,3.09593,0.310626,0.43059,0.463503,0.108704,3.11148,3.11162,0.1091,0.0640817,1.18031,1.18005,0.0795658,0.533128,3.4371,0.313328,-0.0912854,49.1181,1,-0.000138096,-2.78011e-10,152.517,439.709,0.539488,5.84041,0.539488,-0.442777,426.924,1,1
84,37,6,34,152.868,7434.15,1.00764,-0.862232,0.527741,0.621729,0.140561,1.32619,1.3263,0.140825,0.018851,0.810508,0.814386,-0.880499,0.207259,0.7236,-0.626656,1.57434,496.119,1,-0.000138096,-2.78011e-10,160.617,58.097,0.539488,5.84041,0.539488,-0.442777,426.924,1,1
