clean_number,event_number,axis_scatter,numb_pix,energy,size,Xc[0],Yc[0],con2,length[0],width[0],dist[0],dist[1],azwidth[1],miss[1],alpha[0],alpha[1],a_axis[0],b_axis[0],x_max_coord,y_max_coord,skewness,kurtosis,edge,source_x,source_y,x_ground,y_ground,tel_tet,tel_fi,source_tet,source_fi,Xmax,num_islands,con_selected_island
2943,1195,3,10,159.976,306.732,3.24443,1.15042,0.359294,0.459968,0.178958,3.44235,3.44217,0.183106,0.314831,5.24883,5.24777,0.461483,-2.87584,2.7135,0.939984,-0.0721095,50.6413,0,0.000191877,-3.94947e-10,-615.883,92.4483,0.683009,7.28548,0.683009,1.0023,372.029,1,1
2944,1195,6,28,159.976,1562.04,0.902596,2.10746,0.307159,0.762718,0.168221,2.29261,2.29254,0.16842,0.0252239,0.626008,0.630417,2.26615,0.514464,0.7236,1.87997,0.888659,648.773,1,0.000191877,-3.94947e-10,-319.944,-254.9,0.683009,7.28548,0.683009,1.0023,372.029,1,1
2945,1195,9,27,159.976,3002.89,-0.516352,1.562,0.498062,0.612291,0.140078,1.64513,1.64519,0.141952,0.0634513,2.21666,2.21032,-2.67333,1.50596,-0.3618,1.25331,1.26157,368.356,1,0.000191877,-3.94947e-10,-89.0477,-274.597,0.683009,7.28548,0.683009,1.0023,372.029,1,1
2946,1196,7,9,197.958,356.743,1.1543,-2.54499,0.481195,0.462995,0.103725,2.79452,2.79446,0.10722,0.168166,3.44709,3.45005,-1.89313,-2.98297,1.2663,-2.81995,-0.438026,65.8836,0,0.000158118,-3.58368e-10,425.45,-320.852,0.546955,5.25062,0.546955,-1.03256,433.302,1,1
2947,1196,8,9,197.958,245.648,1.16393,-2.74143,0.445593,0.438978,0.127121,2.97828,2.97822,0.127371,0.0565879,1.09152,1.08872,-2.48593,1.26055,1.2663,-2.81995,-0.433881,50.2599,0,0.000158118,-3.58368e-10,470.952,-382.481,0.546955,5.25062,0.546955,-1.03256,433.302,1,1
2948,1197,3,12,133.112,363.781,-1.62625,2.27211,0.411423,0.508836,0.122117,2.79414,2.79424,0.126213,0.180416,3.69915,3.70201,-1.60695,-2.82916,-1.6281,2.19329,0.100932,97.6333,0,0.000171662,-3.75957e-10,-486.901,-224.917,0.599992,6.18323,0.599992,-0.0999473,388.832,1,1
2949,1197,8,24,133.112,1351.17,1.12024,-1.92462,0.398447,0.691322,0.127564,2.22691,2.22682,0.127609,0.011174,0.283689,0.287507,-1.69865,-0.180215,0.9045,-1.56664,0.742455,393.92,1,0.000171662,-3.75957e-10,343.108,128.23,0.599992,6.18323,0.599992,-0.0999473,388.832,1,1
2950,1197,9,15,133.112,451.162,-2.86456,0.710207,0.335345,0.623277,0.144599,2.95128,2.95145,0.145802,0.0910068,1.76777,1.76697,-0.215418,0.772234,-2.5326,0.626656,0.188524,200.96,1,0.000171662,-3.75957e-10,-178.311,-430.014,0.599992,6.18323,0.599992,-0.0999473,388.832,1,1
2951,1198,5,15,25.4344,544.159,1.67079,0.190911,0.34459,0.496815,0.170587,1.68166,1.68181,0.170982,0.0418753,1.42618,1.42675,0.139557,-0.350418,1.6281,0.313328,0.877397,112.637,0,-0.000148568,-2.9053e-10,18.5161,207.77,0.585539,6.042,0.585539,-0.241187,435.075,1,1
2952,1198,7,5,25.4344,72.858,-2.52447,-0.613961,0.523127,0.411315,0.106089,2.59805,2.59791,0.112183,0.238423,5.2665,5.26572,0.343073,2.0905,-2.8944,-0.626656,-0.0271994,27.259,0,-0.000148568,-2.9053e-10,13.4566,-405.704,0.585539,6.042,0.585539,-0.241187,435.075,1,1
2953,1199,2,13,47.7824,958.408,-0.0381474,-1.3768,0.540638,0.393127,0.138544,1.37733,1.37733,0.138786,0.0306694,1.28221,1.27593,187.919,48.0249,0,-1.25331,0.661369,46.5204,0,-0.000150993,-2.93128e-10,249.395,-65.2328,0.596404,6.04843,0.596404,-0.234757,350.596,1,1
2954,1201,3,10,22.7291,294.792,-1.56065,-0.278487,0.579582,0.484734,0.110129,1.5853,1.58549,0.110187,0.0119843,0.434315,0.433087,0.170632,-0.101082,-1.2663,-0.313328,0.649444,93.6478,0,0.000193441,-3.96003e-10,223.924,-130.938,0.68966,7.11317,0.68966,0.829993,346.452,1,1
2955,1202,3,8,69.7656,236.536,-2.38541,-0.999955,0.417615,0.429695,0.117686,2.58652,2.5867,0.118516,0.0876282,1.9397,1.94135,0.459588,0.798932,-2.3517,-0.939984,-0.431301,46.6773,0,0.000192491,-3.95367e-10,453.266,-74.1519,0.685615,7.20289,0.685615,0.919713,418.704,1,1
2956,1202,5,18,69.7656,686.374,1.77065,-1.33561,0.381584,0.673213,0.131957,2.2179,2.21774,0.131988,0.00958026,0.250503,0.247508,-0.761189,0.101049,1.2663,-0.939984,0.770023,345.954,1,0.000192491,-3.95367e-10,-51.1745,333.923,0.685615,7.20289,0.685615,0.919713,418.704,1,1
2957,1202,9,17,69.7656,1397.47,-1.47341,0.0536902,0.542715,0.452901,0.14075,1.47438,1.47458,0.141737,0.057188,2.22237,2.22264,-0.0753532,-0.47542,-1.0854,0,0.651568,70.5612,0,0.000192491,-3.95367e-10,155.598,-139.376,0.685615,7.20289,0.685615,0.919713,418.704,1,1
2958,1203,0,17,123.626,904.883,2.34544,-0.693854,0.373716,0.570954,0.144868,2.44591,2.44575,0.144986,0.0259758,0.609685,0.608539,-0.307441,0.225778,2.1708,-0.626656,0.234821,139.719,1,0.000172461,-3.76882e-10,149.763,331.051,0.60318,6.20364,0.60318,-0.0795373,402.726,1,1
2959,1203,4,27,123.626,2501.55,-1.67499,-0.283195,0.433575,0.56865,0.165095,1.69876,1.69893,0.166,0.0540415,1.82381,1.82284,0.136496,-0.452455,-1.6281,-0.313328,0.867802,221.488,0,0.000172461,-3.76882e-10,22.0236,-221.092,0.60318,6.20364,0.60318,-0.0795373,402.726,2,0.989106
2960,1203,6,19,123.626,1223.13,0.22189,2.2421,0.377486,0.644469,0.133839,2.25306,2.25304,0.133901,0.0145484,0.37434,0.369975,10.8258,-1.327,0.1809,1.56664,0.526517,281.815,0,0.000172461,-3.76882e-10,-362.329,58.2884,0.60318,6.20364,0.60318,-0.0795373,402.726,1,1
2961,1204,6,9,29.3989,386.801,-1.38185,-0.727957,0.522964,0.449154,0.109679,1.56187,1.56173,0.109746,0.0137105,0.505735,0.503009,0.538128,0.129812,-1.0854,-0.626656,0.783698,72.7309,0,-0.000159456,-3.01225e-10,269.258,-7.38907,0.634969,7.25515,0.634969,0.971963,352.037,2,0.91906
2962,1205,2,17,38.5551,900.786,1.55142,0.168678,0.34472,0.567425,0.175944,1.56057,1.56039,0.176567,0.0428397,1.57393,1.57322,0.13661,-0.358722,1.0854,0,0.63759,148.111,0,0.000177445,-3.82342e-10,-25.5672,200.218,0.623229,6.25368,0.623229,-0.0294973,386.288,1,1
2963,1206,0,8,44.7883,262.821,2.44311,0.0110658,0.382778,0.625903,0.0576343,2.44313,2.44295,0.0576683,0.0077529,0.181853,0.181833,0.00770344,-0.0642999,1.809,0,0.220595,182.804,1,0.000187726,-3.91837e-10,-239.787,297.397,0.665528,6.93783,0.665528,0.654653,374.318,1,1
2964,1206,2,13,44.7883,291.285,2.03626,-0.948663,0.387346,0.565363,0.150196,2.2464,2.24623,0.150779,0.0546236,1.39547,1.39345,-0.495872,0.506331,1.9899,-0.939984,0.272068,123.081,1,0.000187726,-3.91837e-10,-50.9012,372.685,0.665528,6.93783,0.665528,0.654653,374.318,1,1
2965,1206,5,6,44.7883,144.75,0.0705391,-2.2278,0.454756,0.368554,0.119943,2.22892,2.22891,0.119967,0.0153152,0.388868,0.393691,-26.0021,-3.26401,0.1809,-2.19329,0.0346857,23.3938,0,0.000187726,-3.91837e-10,415.405,330.643,0.665528,6.93783,0.665528,0.654653,374.318,1,1
2966,1206,7,13,44.7883,261.991,-2.51335,0.418014,0.353581,0.571636,0.143746,2.54788,2.54806,0.143874,0.0279081,0.628247,0.627554,-0.155069,0.234417,-2.3517,0.313328,0.212092,119.284,1,0.000187726,-3.91837e-10,168.778,-356.766,0.665528,6.93783,0.665528,0.654653,374.318,1,1
2967,1206,9,6,44.7883,109.898,-1.35874,-2.35341,0.432292,0.566384,1.75975e-06,2.71749,2.71758,3.38859e-05,0.00016237,4.30812e-06,0.0034233,1.73205,-3.41228e-06,-1.0854,-1.87997,0.175949,114.36,1,0.000187726,-3.91837e-10,554.673,123.637,0.665528,6.93783,0.665528,0.654653,374.318,1,1
